一	弌 壹
丁	𠆤
丂	巧
七	柒
丄	上
丅	下
万	卍 萬
三	叁 弎
上	丄 𠄞
下	丅 厥 𠄟
丌	其
不	不 𠀚 𠙐
与	與
丐	匃
丑	醜
专	專
且	𠀇 𠀃
丕	仳
世	丗 卋
丗	世
丘	丠 㐀 坵 㘳
业	業
丛	叢
东	東
丝	絲
丟	丢
両	兩 两
丢	丟
丣	酉 柳
两	両 兩
严	嚴
並	幷 并 竝
丧	喪
个	個 箇
丬	爿
中	𠁧 𠁩 塚
丰	〈 𡴀 〉 豐
丱	卝
串	串
临	臨
丶	主
丹	丹 𠁿 㣋 𠕑
为	為 爲
主	丶 宔
丼	井
丽	麗
举	舉
乃	廼 𢏩 𢎧 迺 𠄎 𠧤
久	乆
乆	久
乇	虐
么	幺 麼 麽
义	義
之	㞢
乌	烏
乎	虖
乏	𠓟
乐	樂
乔	喬
乕	虎
乖	𦮃 𠁰
乗	乘
乘	乗 𠅞 𠓸
乚	隱
九	玖
也	𠃟 匜
习	習
乡	鄉
书	書
乨	始
乩	稽
买	買
乱	亂
乾	漧 𠄋 亁 干
乿	治
亀	龜
亁	乾
亂	𠧎 𠧏 𠮗 乱
了	了
予	豫 余
争	爭
亊	事
事	亊 叓 𠭏
二	贰 弍 貳
于	扵 於
亏	於 扵 虧
云	員 雲
亓	其
五	伍 𠄡 㐅
井	丼
亗	歲 岁 𡻕
亘	亙
亙	㮓
亚	亞
亜	亞
亝	齊
亞	亜 惡 亚
亡	亾 兦
亢	抗
交	䢒
亦	𠅃
产	產 産
亨	亯 𠅖
亩	畝
享	𠅠
京	亰
亮	亮
亯	享 亨 烹
亰	京
亱	夜
亲	榛 親
亵	褻
亷	廉
亸	嚲
人	𠔽 亻
亻	人
亼	集
亾	亡
亿	億
什	什
仁	忈 忎 𡰥
仂	働
仃	停
仅	僅
仆	僕
仇	讐 讎
从	從
仏	佛
仑	侖
仓	倉
他	她 牠
仙	僊
仝	同
仞	仭
仟	千 阡
令	令
以	㠯
仪	儀
们	們
仭	仞
仮	假
仳	丕
价	價
仺	倉
任	仼
仼	任
份	彬 分
仾	低
仿	倣
伀	彸
企	𠈮
伃	妤
伊	𦯴 𠈽
伍	五
众	眾 衆
优	優
伙	夥
会	會
伛	傴
伜	倅
伝	傳
伞	傘
伟	偉
传	傳
伣	俔
伤	傷
伥	倀
伦	倫
伧	傖
伩	信
伪	偽 僞
伫	佇
伭	玄
伱	你
伲	你
伷	冑 胄
似	𠚦
伽	茄
佇	竚 伫
佈	布
佋	紹
低	仾
佑	祐
体	體 軆
佔	占
佗	它
余	予 餘 馀
佛	仏 𠇛
作	胙 𢓓
佞	侫
你	妳 伱
佣	傭
佥	僉
佬	姆
佰	百
佱	法
併	倂 𠊧 并
佾	𢔍
使	𡥐 𠭆
侁	駪 詵
侂	託
侃	𠈉
侄	姪
侅	賅
來	來 来 徠 耒
侈	𠈎
侉	誇
侌	陰
侎	敉
侖	崙 仑
侚	殉 狥
侠	俠
価	價
侣	侶
侥	僥
侦	偵
侧	側
侨	僑
侩	儈
侪	儕
侫	佞
侬	儂
侭	儘
侮	㑄 㚢 𢘃
侯	𥎦
侶	侣
便	便
俁	俣
係	系
俈	嚳
俊	儁
俌	𥙳
俎	爼
俓	徑 勁
俔	伣
俖	倍
俗	圱
俞	兪
俟	竢
俠	侠
信	伩 㐰 䚱
俣	俁
俥	伡
俦	儔
俨	儼
俩	倆
俪	儷
俫	倈
俭	儉
俯	頫
俱	倶
俲	效
俻	備
倀	伥
倂	併
倅	伜
倆	俩
倈	徠 勑 俫
倉	仺 仓
個	个 箇
倍	俖
